,platform,genre,title,score
0,                                        iOS,simulation,Need for Speed Shift,94
1,                                        iOS,simulation,Real Racing 2,94
2,                                        Xbox One,simulation,Forza Horizon 4,92
3,                                        PC,simulation,The Sims,92
4,                                        Xbox 360,simulation,Forza Motorsport 3,92
5,                                        iOS,simulation,Reckless Racing 2,91
6,                                        PC,simulation,Microsoft Flight Simulator,91
7,                                        iOS,simulation,Epic Astro Story,91
8,                                        PC,simulation,F1 Challenge '99-'02,91
9,                                        iOS,simulation,Asphalt 8: Airborne,91
10,                                        PC,simulation,FreeSpace 2,91
11,                                        PC,simulation,IL-2 Sturmovik,91
12,                                        PlayStation,simulation,Colony Wars,91
13,                                        Xbox One,simulation,Forza Horizon 3,91
14,                                        Xbox 360,simulation,Forza Motorsport 4,91
15,                                        Xbox One,simulation,F1 2020,91
16,                                        PC,simulation,The Sims 2,90
17,                                        Switch,simulation,Animal Crossing: New Horizons,90
18,                                        iOS,simulation,First Touch Soccer,90
19,                                        Xbox 360,simulation,Trials Evolution,90
20,                                        GameCube,simulation,Star Wars Rogue Leader: Rogue Squadron II,90
21,                                        iOS,simulation,GRID Autosport,90
22,                                        PC,simulation,Silent Hunter III,90
23,                                        iOS,simulation,Galaxy On Fire 2,90
24,                                        PC,simulation,Falcon 4.0: Allied Force,90
25,                                        PC,simulation,Flight Simulator 2002,90
26,                                        Xbox 360,simulation,Forza Motorsport 2,90
27,                                        PC,simulation,GTR 2,90
28,                                        Xbox One,simulation,F1 2019,89
29,                                        PC,simulation,F1 2017,89
30,                                        PC,simulation,NASCAR Racing 2002 Season,89
31,                                        PlayStation 2,simulation,Ace Combat 04: Shattered Skies,89
32,                                        PC,simulation,NASCAR Racing 4,89
33,                                        PC,simulation,NASCAR Racing 2003 Season,89
34,                                        iOS,simulation,Motorsport Manager Mobile 2,89
35,                                        PC,simulation,DiRT 2,89
36,                                        iOS,simulation,SPACEPLAN,89
37,                                        PC,simulation,Microsoft Flight Simulator 2004: A Century of Flight,88
38,                                        PC,simulation,FirePower for Microsoft Combat Flight Simulator 3,88
39,                                        iOS,simulation,FTL: Faster than Light,88
40,                                        Switch,simulation,Dream Daddy: A Dad Dating Simulator,88
41,                                        PC,simulation,Superbike 2001,88
42,                                        PC,simulation,Kerbal Space Program,88
43,                                        Xbox 360,simulation,Project Gotham Racing 3,88
44,                                        iOS,simulation,Motorsport Manager,88
45,                                        iOS,simulation,Battle Bay,88
46,                                        PC,simulation,F1 2002,88
47,                                        PC,simulation,F1 2020,88
48,                                        Xbox,simulation,Crimson Skies: High Road to Revenge,88
49,                                        PC,simulation,Forza Horizon 4,88
50,                                        3DS,simulation,Animal Crossing: New Leaf,88
51,                                        iOS,simulation,Motorsport Manager Mobile 3,88
52,                                        PlayStation 3,simulation,GRID,87
53,                                        iOS,simulation,Reigns,87
54,                                        PC,simulation,GRID (2008),87
55,                                        PlayStation 3,simulation,DiRT 3,87
56,                                        PC,simulation,MechWarrior 4: Vengeance,87
57,                                        Xbox 360,simulation,DiRT 3,87
58,                                        iOS,simulation,FIFA SOCCER 12 by EA Sports,87
59,                                        Xbox One,simulation,Forza Motorsport 6,87
60,                                        Xbox,simulation,MechAssault,87
61,                                        PlayStation 3,simulation,DiRT 2,87
62,                                        PC,simulation,DCS: A-10C Warthog,87
63,                                        PC,simulation,Grand Prix 3,87
64,                                        PC,simulation,Colin McRae Rally 04,87
65,                                        Xbox 360,simulation,DiRT 2,87
66,                                        Xbox One,simulation,Forza Horizon 3: Blizzard Mountain,87
67,                                        PC,simulation,F1 2019,87
68,                                        Xbox One,simulation,Forza Horizon 3: Hot Wheels,87
69,                                        Xbox 360,simulation,GRID,87
70,                                        PC,simulation,Forza Horizon 3,86
71,                                        PC,simulation,Enemy Engaged: RAH-66 Comanche Versus Ka-52 Hokum,86
72,                                        iOS,simulation,Game Dev Story,86
73,                                        Xbox One,simulation,DiRT Rally,86
74,                                        PlayStation 4,simulation,F1 2017,86
75,                                        iOS,simulation,Sky Gamblers: Air Supremacy,86
76,                                        PlayStation 4,simulation,F1 2020,86
77,                                        Wii U,simulation,Need for Speed: Most Wanted U,86
78,                                        PC,simulation,Steel Beasts,86
79,                                        PC,simulation,The Sims 3,86
80,                                        Xbox 360,simulation,Trials HD,86
81,                                        iOS,simulation,Splice: Tree of Life,86
82,                                        DS,simulation,Animal Crossing: Wild World,86
83,                                        PC,simulation,IL-2 Sturmovik: Forgotten Battles,86
84,                                        PC,simulation,F1 2016,86
85,                                        PC,simulation,DiRT 3,86
86,                                        iOS,simulation,Sky Gamblers: Rise Of Glory,86
87,                                        Xbox One,simulation,Forza Horizon 2,86
88,                                        PC,simulation,IL-2 Sturmovik: 1946,86
89,                                        PC,simulation,Cook-Out: A Sandwich Tale,86
90,                                        Xbox One,simulation,DiRT 4,86
91,                                        iOS,simulation,Bridge Constructor Portal,86
92,                                        Xbox One,simulation,Forza Motorsport 7,86
93,                                        PC,simulation,DiRT Rally,86
94,                                        PC,simulation,Allegiance,86
95,                                        PlayStation 4,simulation,DiRT Rally,85
96,                                        Xbox 360,simulation,Project Gotham Racing 4,85
97,                                        iOS,simulation,iOOTP Baseball 2012 Edition,85
98,                                        iOS,simulation,Air Mail,85
99,                                        PC,simulation,Falcon 4.0,85
100,                                        Xbox 360,simulation,Trials Evolution: Origin of Pain,85
101,                                        PC,simulation,The Sims 4: Realm of Magic,85
102,                                        PC,simulation,NASCAR SimRacing,85
103,                                        Xbox 360,simulation,Forza Horizon,85
104,                                        PC,simulation,GTR: FIA GT Racing Game,85
105,                                        iOS,simulation,Reckless Racing,85
106,                                        PlayStation 4,simulation,VA-11 Hall-A: Cyberpunk Bartender Action,85
107,                                        PC,simulation,Assetto Corsa,85
108,                                        Xbox One,simulation,F1 2016,85
109,                                        PC,simulation,Freelancer,85
110,                                        Nintendo 64,simulation,Star Wars: Rogue Squadron,85
111,                                        Switch,simulation,Two Point Hospital,85
112,                                        iOS,simulation,Mega Mall Story,85
113,                                        PC,simulation,The Sims: Hot Date,85
114,                                        PC,simulation,IL-2 Sturmovik: Forgotten Battles - Ace,85
115,                                        Xbox One,simulation,Forza Horizon 4: Fortune Island,85
116,                                        PlayStation 4,simulation,DiRT 4,85
117,                                        PlayStation 5,simulation,WRC 9 FIA World Rally Championship,85
118,                                        PC,simulation,DiRT Rally 2.0,84
119,                                        Xbox One,simulation,Project CARS 2,84
120,                                        PlayStation 4,simulation,F1 2018,84
121,                                        iOS,simulation,2XL ATV Offroad,84
122,                                        Xbox 360,simulation,Viva Pinata,84
123,                                        PlayStation 2,simulation,Star Wars: Starfighter,84
124,                                        PC,simulation,Flanker 2.5,84
125,                                        PC,simulation,GT Legends,84
126,                                        PC,simulation,The Sims 4: Island Living,84
127,                                        PlayStation 3,simulation,F1 2010,84
128,                                        PlayStation 3,simulation,MotorStorm,84
129,                                        PC,simulation,Sub Command,84
130,                                        Switch,simulation,VA-11 Hall-A: Cyberpunk Bartender Action,84
131,                                        PC,simulation,DiRT,84
132,                                        Xbox One,simulation,F1 2017,84
133,                                        Xbox One,simulation,F1 2018,84
134,                                        PlayStation 4,simulation,DiRT Rally 2.0,84
135,                                        PlayStation 3,simulation,Need for Speed: Most Wanted - A Criterion Game,84
136,                                        Xbox 360,simulation,F1 2012,84
137,                                        Xbox 360,simulation,F1 2011,84
138,                                        iOS,simulation,Football Manager Handheld 2012: US and Japan,84
139,                                        Xbox One,simulation,EVERSPACE,84
140,                                        Xbox 360,simulation,Need for Speed: Most Wanted - A Criterion Game,84
141,                                        Xbox One,simulation,Two Point Hospital,84
142,                                        PC,simulation,Microsoft Train Simulator,84
143,                                        PC,simulation,MotoGP 2,84
144,                                        iOS,simulation,Tony Hawk's Pro Skater 2,84
145,                                        PC,simulation,TOCA Race Driver 3,84
146,                                        PC,simulation,FTL: Faster Than Light,84
147,                                        PlayStation 2,simulation,Ace Combat 5: The Unsung War,84
148,                                        PlayStation 3,simulation,Need for Speed: Shift,84
149,                                        PlayStation 3,simulation,Gran Turismo 5,84
150,                                        PlayStation 4,simulation,F1 2019,84
151,                                        PlayStation 3,simulation,Warhawk,84
152,                                        PC,simulation,Project CARS 2,84
153,                                        PC,simulation,Shift 2: Unleashed,84
154,                                        Nintendo 64,simulation,Star Wars: Episode I Battle for Naboo,84
155,                                        PC,simulation,F1 2010,84
156,                                        Xbox 360,simulation,F1 2010,84
157,                                        PC,simulation,Two Point Hospital,83
158,                                        iOS,simulation,Hot Springs Story,83
159,                                        PC,simulation,Xtreme Air Racing,83
160,                                        iOS,simulation,Galaxy On Fire 2 HD,83
161,                                        Xbox 360,simulation,DiRT,83
162,                                        Xbox 360,simulation,Need for Speed: Shift,83
163,                                        Xbox 360,simulation,Need for Speed: Most Wanted,83
164,                                        PC,simulation,Need for Speed: Shift,83
165,                                        PC,simulation,Project CARS,83
166,                                        Xbox One,simulation,DIRT 5,83
167,                                        PC,simulation,Wings of Power: WWII Heavy Bombers and Jets,83
168,                                        PC,simulation,Combat Flight Simulator 2: WWII Pacific Theater,83
169,                                        PC,simulation,Colin McRae Rally 2.0,83
170,                                        PC,simulation,World of Outlaws: Sprint Cars,83
171,                                        PC,simulation,Starseed Pilgrim,83
172,                                        PlayStation 3,simulation,Warhawk - Operation: Fallen Star,83
173,                                        DS,simulation,Nintendogs: Chihuahua & Friends,83
174,                                        PlayStation 3,simulation,DiRT,83
175,                                        iOS,simulation,Football Manager Handheld 2010,83
176,                                        PlayStation 3,simulation,Warhawk - Operation: Broken Mirror,83
177,                                        iOS,simulation,A Normal Lost Phone,83
178,                                        PC,simulation,Universe Sandbox,83
179,                                        iOS,simulation,Uplink,83
180,                                        PlayStation 4,simulation,Project CARS,83
181,                                        PC,simulation,Fighter Ace 3.5,83
182,                                        PC,simulation,Crimson Skies,83
183,                                        Xbox,simulation,Steel Battalion,83
184,                                        DS,simulation,Nintendogs: Lab & Friends,83
185,                                        Xbox One,simulation,WRC 9 FIA World Rally Championship,83
186,                                        PC,simulation,RACE 07: Official WTCC Game,83
187,                                        PlayStation 4,simulation,World of Warships: Legends,83
188,                                        DS,simulation,Nintendogs: Dalmatian & Friends,83
189,                                        PC,simulation,Colin McRae Rally 2005,83
190,                                        iOS,simulation,Pool Pro Online 3,83
191,                                        PC,simulation,GTR Evolution,83
192,                                        PC,simulation,Independence War 2: Edge of Chaos,83
193,                                        PlayStation,simulation,Ace Combat 2,83
194,                                        PC,simulation,Euro Truck Simulator 2: Vive La France! Add-On,83
195,                                        DS,simulation,Nintendogs: Dachshund & Friends,83
196,                                        PC,simulation,F1 2011,83
197,                                        PC,simulation,MechWarrior 4: Mercenaries,83
198,                                        PC,simulation,Euro Truck Simulator 2: Italia Add-On,83
199,                                        PC,simulation,F1 2018,83
200,                                        PC,simulation,Rally Trophy,82
201,                                        PlayStation 3,simulation,F1 2011,82
202,                                        iOS,simulation,Need for Speed: Most Wanted (2012),82
203,                                        PlayStation 4,simulation,Project CARS 2,82
204,                                        iOS,simulation,Asphalt 5,82
205,                                        DS,simulation,X-Scape,82
206,                                        DS,simulation,Dawn of Discovery,82
207,                                        Xbox One,simulation,Forza Horizon 2: Storm Island,82
208,                                        PlayStation 3,simulation,Gran Turismo HD Concept,82
209,                                        PlayStation 2,simulation,Zone of the Enders: The 2nd Runner,82
210,                                        PlayStation 4,simulation,F1 2016,82
211,                                        Xbox 360,simulation,Viva Pinata: Trouble in Paradise,82
212,                                        PC,simulation,Dangerous Waters,82
213,                                        Xbox 360,simulation,Shift 2: Unleashed,82
214,                                        Xbox One,simulation,World of Warships: Legends,82
215,                                        iOS,simulation,Tiger Woods PGA Tour 12 for iPad,82
216,                                        Xbox 360,simulation,Test Drive Unlimited,82
217,                                        PC,simulation,Need for Speed: Underground,82
218,                                        DS,simulation,Viva Pinata: Pocket Paradise,82
219,                                        Wii,simulation,Trauma Team,82
220,                                        iOS,simulation,SIMULACRA,82
221,                                        PC,simulation,The Sims 4: Eco Lifestyle,82
222,                                        PC,simulation,Need for Speed: Underground 2,82
223,                                        Xbox One,simulation,DiRT Rally 2.0,82
224,                                        PlayStation Vita,simulation,VA-11 Hall-A,82
225,                                        iOS,simulation,Tom Clancy's H.A.W.X,82
226,                                        PlayStation 4,simulation,Two Point Hospital,82
227,                                        PlayStation 3,simulation,GRID 2,82
228,                                        PC,simulation,Recettear: An Item Shop's Tale,82
229,                                        PlayStation 4,simulation,Assetto Corsa: Ultimate Edition,82
230,                                        Xbox One,simulation,MotoGP 20,82
231,                                        PC,simulation,Forza Motorsport 7,82
232,                                        PC,simulation,X-Plane 8,82
233,                                        PlayStation 3,simulation,Midnight Club: Los Angeles,82
234,                                        PC,simulation,Flight Simulator X: Acceleration,82
235,                                        PC,simulation,The Sims: Livin' Large,82
236,                                        PC,simulation,DCS: Black Shark,82
237,                                        PC,simulation,Xpand Rally,82
238,                                        PlayStation 3,simulation,MotorStorm: Pacific Rift,82
239,                                        PC,simulation,B-17 Flying Fortress: The Mighty 8th,82
240,                                        iOS,simulation,Major Mayhem,82
241,                                        PC,simulation,Need for Speed: Most Wanted,82
242,                                        PC,simulation,Star Trek Bridge Commander,82
243,                                        Xbox Series X,simulation,DIRT 5,81
244,                                        Xbox 360,simulation,Trials Evolution: The Riders of Doom,81
245,                                        iOS,simulation,Tiger Woods PGA Tour 12,81
246,                                        PC,simulation,The Sims 3: World Adventures,81
247,                                        PC,simulation,Quadrilateral Cowboy,81
248,                                        PC,simulation,War Thunder,81
249,                                        PSP,simulation,Race Driver 2006,81
250,                                        PC,simulation,The Sims 4: Seasons,81
251,                                        PC,simulation,The Sims 4: Discover University,81
252,                                        PlayStation 2,simulation,Star Wars: Jedi Starfighter,81
253,                                        PlayStation 3,simulation,Shift 2: Unleashed,81
254,                                        DS,simulation,Trauma Center: Under the Knife,81
255,                                        iOS,simulation,Reigns: Her Majesty,81
256,                                        PC,simulation,Midnight Club II,81
257,                                        PC,simulation,RACE: The WTCC Game,81
258,                                        Xbox One,simulation,Untitled Goose Game,81
259,                                        iOS,simulation,Fast Five the Movie: Official Game,81
260,                                        Wii,simulation,Dawn of Discovery,81
261,                                        PC,simulation,NASCAR Heat,81
262,                                        Switch,simulation,Untitled Goose Game,81
263,                                        iOS,simulation,Touch Pets Dogs,81
264,                                        iOS,simulation,Virtual City,81
265,                                        PC,simulation,Reigns: Her Majesty,81
266,                                        PlayStation 3,simulation,Gran Turismo 6,81
267,                                        iOS,simulation,The Sims 3: Ambitions,81
268,                                        PC,simulation,The Sims 2 University,81
269,                                        PlayStation 3,simulation,IL-2 Sturmovik: Birds of Prey,81
270,                                        iOS,simulation,Dawn of Discovery - Harbor,81
271,                                        Xbox One,simulation,Project CARS,81
272,                                        PC,simulation,Flanker 2.0,81
273,                                        Xbox 360,simulation,Midnight Club: Los Angeles,81
274,                                        iOS,simulation,Rebuild,81
275,                                        PlayStation 2,simulation,Secret Weapons Over Normandy,81
276,                                        PC,simulation,Overcooked!,81
277,                                        PC,simulation,Motorsport Manager,81
278,                                        Xbox,simulation,MechAssault 2: Lone Wolf,81
279,                                        PlayStation 3,simulation,F1 2012,81
280,                                        PC,simulation,TOCA Race Driver 2: The Ultimate Racing Simulator,81
281,                                        PC,simulation,World of Warships,81
282,                                        iOS,simulation,Racing Rivals,81
283,                                        PlayStation 4,simulation,WRC 9 FIA World Rally Championship,81
284,                                        PC,simulation,MotoGP 20,81
285,                                        PC,simulation,Hover Junkers,80
286,                                        Xbox 360,simulation,Ace Combat 6: Fires of Liberation,80
287,                                        PlayStation 4,simulation,DIRT 5,80
288,                                        PC,simulation,GRID 2,80
289,                                        PC,simulation,The Sims: Makin' Magic,80
290,                                        Xbox One,simulation,Overcooked!,80
291,                                        PC,simulation,Elite: Dangerous,80
292,                                        Xbox 360,simulation,IL-2 Sturmovik: Birds of Prey,80
293,                                        PlayStation 3,simulation,Need for Speed: Rivals,80
294,                                        PSP,simulation,Test Drive Unlimited,80
295,                                        PlayStation 4,simulation,Ace Combat 7: Skies Unknown,80
296,                                        Xbox 360,simulation,MotoGP '06,80
297,                                        iOS,simulation,X2 Soccer 2010,80
298,                                        iOS,simulation,Amateur Surgeon 2,80
299,                                        iOS,simulation,Pumped: BMX,80
300,                                        iOS,simulation,iOOTP Baseball 2013,80
301,                                        PC,simulation,The Sims 3: Into the Future,80
302,                                        Xbox One,simulation,Project CARS: Game of the Year Edition,80
303,                                        iOS,simulation,Gear.Club,80
304,                                        3DS,simulation,Style Savvy: Styling Star,80
305,                                        PC,simulation,American Truck Simulator: New Mexico,80
306,                                        iOS,simulation,PAKO 2,80
307,                                        Switch,simulation,Conduct TOGETHER!,80
308,                                        PlayStation 5,simulation,DIRT 5,80
309,                                        PlayStation 3,simulation,Gran Turismo 5 Prologue,80
310,                                        PC,simulation,World of Tanks,80
311,                                        Nintendo 64,simulation,Pilotwings 64,80
312,                                        PlayStation 4,simulation,Need for Speed: Rivals,80
313,                                        Wii,simulation,Trauma Center: Second Opinion,80
314,                                        PC,simulation,Interstate '76,80
315,                                        PC,simulation,The Sims 4: Cats & Dogs,80
316,                                        PC,simulation,F1 2012,80
317,                                        PlayStation 4,simulation,Untitled Goose Game,80
318,                                        Xbox 360,simulation,Snoopy Flying Ace,80
319,                                        iOS,simulation,Pako - Car Chase Simulator,80
320,                                        Xbox One,simulation,Elite: Dangerous,80
321,                                        iOS,simulation,The Sims FreePlay,80
322,                                        PC,simulation,Star Wars: Squadrons,80
323,                                        PlayStation 4,simulation,World of Tanks,80
324,                                        PC,simulation,Microsoft Flight Simulator X,80
325,                                        iOS,simulation,Plague Inc.,80
326,                                        Xbox One,simulation,War Thunder,80
327,                                        Xbox One,simulation,Forza Motorsport 5,79
328,                                        PC,simulation,Test Drive Unlimited,79
329,                                        PC,simulation,F1 2001,79
330,                                        PC,simulation,Silent Hunter: Wolves of the Pacific,79
331,                                        iOS,simulation,Asphalt 6: Adrenaline,79
332,                                        PlayStation Vita,simulation,Need for Speed: Most Wanted - A Criterion Game,79
333,                                        PC,simulation,Euro Truck Simulator 2,79
334,                                        PC,simulation,Rowan's Battle of Britain,79
335,                                        PC,simulation,Cart Life,79
336,                                        DS,simulation,Trauma Center: Under the Knife 2,79
337,                                        PC,simulation,The Sims: Superstar,79
338,                                        PC,simulation,Archangel: Hellfire,79
339,                                        Xbox One,simulation,Ace Combat 7: Skies Unknown,79
340,                                        DS,simulation,GRID,79
341,                                        PC,simulation,Jumpgate: The Reconstruction Initiative,79
342,                                        PlayStation 4,simulation,Railway Empire,79
343,                                        PC,simulation,The Sims 4: Snowy Escape,79
344,                                        PlayStation 4,simulation,Driveclub Bikes,79
345,                                        iOS,simulation,The Sims Medieval,79
346,                                        iOS,simulation,Happy Street,79
347,                                        PlayStation 2,simulation,Robot Alchemic Drive,79
348,                                        PC,simulation,The Sims: Unleashed,79
349,                                        PlayStation 4,simulation,Star Wars: Squadrons,79
350,                                        PSP,simulation,MotorStorm Arctic Edge,79
351,                                        PC,simulation,The Sims 3: Pets,79
352,                                        Xbox One,simulation,GRID,79
353,                                        PSP,simulation,Twisted Metal: Head-On,79
354,                                        Switch,simulation,GRID Autosport,79
355,                                        PlayStation 2,simulation,Sky Odyssey,79
356,                                        PC,simulation,Untitled Goose Game,79
357,                                        iOS,simulation,Out of the Park Baseball 2011,79
358,                                        PC,simulation,WRC 9 FIA World Rally Championship,79
359,                                        PC,simulation,EVERSPACE,79
360,                                        Switch,simulation,Skies of Fury DX,79
361,                                        Xbox 360,simulation,F1 2013,79
362,                                        PC,simulation,iRacing,79
363,                                        Dreamcast,simulation,StarLancer,79
364,                                        PC,simulation,Need for Speed: Most Wanted - A Criterion Game,78
365,                                        iOS,simulation,Clumsy Ninja,78
366,                                        PC,simulation,WarBirds III Fighter Pilot Academy,78
367,                                        PC,simulation,NASCAR Thunder 2004,78
368,                                        PlayStation 3,simulation,The Sims 3,78
369,                                        PlayStation 4,simulation,EVERSPACE,78
370,                                        PC,simulation,The Sims 4: City Living,78
371,                                        iOS,simulation,One Hour One Life,78
372,                                        PlayStation 4,simulation,Overcooked!,78
373,                                        PlayStation 4,simulation,Bridge Constructor Portal,78
374,                                        PlayStation Vita,simulation,MotorStorm RC,78
375,                                        PC,simulation,EVERSPACE: Encounters,78
376,                                        PC,simulation,MechWarrior 4: Black Knight Expansion,78
377,                                        DS,simulation,Asphalt 4: Elite Racing,78
378,                                        PC,simulation,Ace Combat 7: Skies Unknown,78
379,                                        Xbox 360,simulation,Kinectimals: Now with Bears!,78
380,                                        Switch,simulation,Not Tonight: Take Back Control Edition,78
381,                                        DS,simulation,Anno 1701: Dawn of Discovery,78
382,                                        PC,simulation,Star Trek: Starfleet Command III,78
383,                                        Xbox,simulation,Star Wars: Jedi Starfighter,78
384,                                        PlayStation 4,simulation,RIGS: Mechanized Combat League,78
385,                                        PC,simulation,DiRT 4,78
386,                                        Xbox 360,simulation,MotoGP '07,78
387,                                        PC,simulation,Wings of Prey,78
388,                                        PC,simulation,The Sims 2: Open for Business,78
389,                                        PC,simulation,StarLancer,78
390,                                        DS,simulation,Flight Control,78
391,                                        PC,simulation,GRID Autosport,78
392,                                        PC,simulation,The Sims 2 Seasons,78
393,                                        PC,simulation,Viva Pinata,78
394,                                        Xbox 360,simulation,GRID 2,78
395,                                        PlayStation 2,simulation,Armored Core 2,78
396,                                        PC,simulation,Need for Speed: Carbon,78
397,                                        Xbox One,simulation,Bridge Constructor Portal,78
398,                                        Xbox 360,simulation,Ace Combat: Assault Horizon,78
399,                                        iOS,simulation,Madden NFL 11,78
400,                                        Xbox One,simulation,RIDE 4,78
401,                                        PlayStation 2,simulation,Zone of the Enders,78
402,                                        PlayStation 2,simulation,Dropship: United Peace Force,78
403,                                        PC,simulation,Dirt Track Racing: Sprint Cars,78
404,                                        Xbox One,simulation,Starlink: Battle for Atlas,78
405,                                        Switch,simulation,EVERSPACE: Stellar Edition,78
406,                                        Xbox One,simulation,Star Wars: Squadrons,78
407,                                        PC,simulation,Dawn of Discovery: Venice,78
408,                                        3DS,simulation,Style Savvy: Fashion Forward,78
409,                                        PC,simulation,Dark Future: Blood Red States,78
410,                                        Xbox One,simulation,MXGP3: The Official Motocross Videogame,78
411,                                        PC,simulation,Vacation Simulator,77
412,                                        PlayStation 4,simulation,Elite: Dangerous,77
413,                                        Xbox One,simulation,Railway Empire,77
414,                                        PC,simulation,Reigns,77
415,                                        PC,simulation,Geoff Crammond's Grand Prix 4,77
416,                                        Xbox 360,simulation,Birds of Steel,77
417,                                        PC,simulation,Bridge Constructor Portal,77
418,                                        iOS,simulation,MADDEN NFL 11 for iPad,77
419,                                        PC,simulation,F1 2013,77
420,                                        PlayStation 4,simulation,Kerbal Space Program,77
421,                                        PlayStation 3,simulation,MotorStorm: Apocalypse,77
422,                                        PC,simulation,VA-11 Hall-A: Cyberpunk Bartender Action,77
423,                                        Xbox 360,simulation,World of Tanks: Xbox 360 Edition,77
424,                                        PC,simulation,MotoGP 3: Ultimate Racing Technology,77
425,                                        PC,simulation,Rise of Flight: The First Great Air War,77
426,                                        Xbox One,simulation,Farming Simulator 19,77
427,                                        PC,simulation,Ace Combat Assault Horizon: Enhanced Edition,77
428,                                        PC,simulation,The Sims 4: Get Famous,77
429,                                        PC,simulation,Enigma: Rising Tide,77
430,                                        Xbox 360,simulation,Need for Speed Carbon,77
431,                                        PC,simulation,DIRT 5,77
432,                                        iOS,simulation,Kinectimals,77
433,                                        PC,simulation,Cross Racing Championship 2005,77
434,                                        Xbox,simulation,Secret Weapons Over Normandy,77
435,                                        PlayStation 3,simulation,F1 2013,77
436,                                        PC,simulation,RalliSport Challenge,77
437,                                        Xbox One,simulation,Forza Horizon 4: LEGO Speed Champions,77
438,                                        PC,simulation,Assetto Corsa Competizione,77
439,                                        iOS,simulation,Oh! Edo Towns,77
440,                                        PC,simulation,The Long Dark,77
441,                                        iOS,simulation,Punch Club,77
442,                                        PC,simulation,The Sims Medieval,77
443,                                        PC,simulation,Spintires: MudRunner,77
444,                                        Wii,simulation,Trauma Center: New Blood,77
445,                                        PlayStation 3,simulation,Ace Combat: Assault Horizon,77
446,                                        PC,simulation,Screamer 4x4,77
447,                                        iOS,simulation,The Sims 3: World Adventures,77
448,                                        Switch,simulation,Do Not Feed the Monkeys,77
449,                                        iOS,simulation,Bridge Constructor,76
450,                                        PlayStation 4,simulation,War Thunder,76
451,                                        iOS,simulation,CATS: Crash Arena Turbo Stars,76
452,                                        PlayStation 4,simulation,MotoGP 19,76
453,                                        PC,simulation,Trainz Railroad Simulator 2004,76
454,                                        PC,simulation,Kerbal Space Program: Making History,76
455,                                        PlayStation 4,simulation,MotoGP 20,76
456,                                        DS,simulation,AiRace,76
457,                                        Xbox 360,simulation,Forza Horizon: Rally Expansion Pack,76
458,                                        Xbox,simulation,Heroes of the Pacific,76
459,                                        iOS,simulation,Football Manager Handheld 2011,76
460,                                        PC,simulation,The Sims 2: Pets,76
461,                                        PC,simulation,GoD Factory: Wingmen,76
462,                                        PC,simulation,Pacific Fighters,76
463,                                        iOS,simulation,GT Racing: Motor Academy,76
464,                                        PC,simulation,Heroes of the Pacific,76
465,                                        PC,simulation,Lock On: Modern Air Combat,76
466,                                        Wii,simulation,MySims Kingdom,76
467,                                        PC,simulation,RIDE 4,76
468,                                        iOS,simulation,Pocket Trains,76
469,                                        iOS,simulation,SimCity Deluxe,76
470,                                        PlayStation,simulation,Star Trek: Invasion,76
471,                                        iOS,simulation,PinWar,76
472,                                        Xbox One,simulation,The Long Dark,76
473,                                        Xbox One,simulation,Sublevel Zero Redux,76
474,                                        Switch,simulation,Sky Rogue,76
475,                                        PlayStation 3,simulation,Twisted Metal,76
476,                                        Xbox One,simulation,World of Tanks,76
477,                                        PSP,simulation,ATV Offroad Fury Pro,76
478,                                        iOS,simulation,Pocket Academy,76
479,                                        Xbox 360,simulation,The Sims 3,76
480,                                        PlayStation 3,simulation,NASCAR The Game: Inside Line,76
481,                                        Xbox 360,simulation,Need for Speed: Rivals,76
482,                                        iOS,simulation,Monster Island,76
483,                                        iOS,simulation,Order Up!! To Go,76
484,                                        iOS,simulation,Virtual City 2: Paradise Resort,76
485,                                        PC,simulation,MotoGP 14,76
486,                                        Xbox One,simulation,Supermarket Shriek,76
487,                                        Switch,simulation,War Tech Fighters,76
488,                                        DS,simulation,Star Fox Command,76
489,                                        PlayStation 2,simulation,Heroes of the Pacific,76
490,                                        PC,simulation,Need for Speed: Rivals,76
491,                                        DS,simulation,Race Driver: Create & Race,76
492,                                        PC,simulation,The Sims 2: Nightlife,76
493,                                        Xbox One,simulation,RIDE 3,76
494,                                        PC,simulation,American Truck Simulator,76
495,                                        Xbox,simulation,Star Wars Starfighter: Special Edition,76
496,                                        3DS,simulation,Style Savvy: Trendsetters,76
497,                                        Xbox One,simulation,Punch Club,76
498,                                        Wii,simulation,Bonsai Barber,75
499,                                        Xbox 360,simulation,MX vs. ATV Reflex,75
500,                                        PlayStation 2,simulation,Armored Core 2: Another Age,75
501,                                        PlayStation 3,simulation,After Burner Climax,75
502,                                        PC,simulation,Rick and Morty: Virtual Rick-ality,75
503,                                        iOS,simulation,Amateur Surgeon 3,75
504,                                        Xbox One,simulation,Need for Speed: Rivals,75
505,                                        PlayStation 3,simulation,Need for Speed Carbon,75
506,                                        PSP,simulation,Ace Combat X: Skies of Deception,75
507,                                        PC,simulation,Battle of Britain II: Wings of Victory,75
508,                                        PC,simulation,Battlezone 98 Redux,75
509,                                        Switch,simulation,Bomber Crew,75
510,                                        DS,simulation,Infinite Space,75
511,                                        PlayStation 4,simulation,The Long Dark,75
512,                                        PlayStation 4,simulation,Gran Turismo Sport,75
513,                                        PlayStation 4,simulation,Beyond Blue,75
